bookkeeping	child_dialect_count	child_family_count	child_language_count	description	family_pk	father_pk	hid	id	jsondata	latitude	level	longitude	markup_description	name	newick	pk	status	genus_name	family	color	latlong_combined	duplicate
False	0	0	0		383	15062	xtp	sanm1294	{}	16.9944	language	-97.2056		San Miguel Piedras Mixtec	'San Miguel Piedras Mixtec [sanm1294][xtp]-l-'	16982	unknown/safe		Otomanguean	#A9A9A9	16.9944 -97.2056	FALSE
False	4	0	0		383	12470	mig	sanm1295	{}	17.0777	language	-97.5432		San Miguel El Grande Mixtec	('San Miguel Chalcatongo [sanm1296]','San Pedro Molinos [sanp1259]','Santa Catarina Ticuá [sant1443]','Santa María Yosoyúa [sant1442]')'San Miguel El Grande Mixtec [sanm1295][mig]-l-'	15079	unknown/safe	Mixtecan	Otomanguean	#A9A9A9	17.0777 -97.5432	FALSE
False	0	0	0		383	7221	trq	sanm1298	{}	17.2428	language	-97.9202		San Martín Itunyoso Triqui	'San Martín Itunyoso Triqui [sanm1298][trq]-l-'	9675	unknown/safe		Otomanguean	#A9A9A9	17.2428 -97.9202	FALSE
False	0	0	0		383	9666	pls	sanm1301	{}	18.74	language	-97.5936		San Marcos Tlalcoyalco Popoloca	'San Marcos Tlalcoyalco Popoloca [sanm1301][pls]-l-'	12450	unknown/safe		Otomanguean	#A9A9A9	18.74 -97.5936	FALSE
False	0	0	0		89	23170	scf	sanm1305	{}	8.32601	language	-81.2564		San Miguel Creole French	'San Miguel Creole French [sanm1305][scf]-l-'	23234	unknown/safe		Indo-European	#A9A9A9	8.32601 -81.2564	FALSE
False	0	0	0		383	4985	azg	sanp1260	{}	16.5198	language	-98.0464		San Pedro Amuzgos Amuzgo	'San Pedro Amuzgos Amuzgo [sanp1260][azg]-l-'	7222	unknown/safe		Otomanguean	#A9A9A9	16.5198 -98.0464	FALSE
False	0	0	0		383	15017	zpf	sanp1261	{}	16.7608	language	-96.0899		San Pedro Quiatoni Zapotec	'San Pedro Quiatoni Zapotec [sanp1261][zpf]-l-'	16945	unknown/safe		Otomanguean	#A9A9A9	16.7608 -96.0899	FALSE
False	0	0	0		89	2222	san	sans1269	{}	20	language	77		Sanskrit	'Sanskrit [sans1269][san]-l-'	3964	unknown/safe		Indo-European	#A9A9A9	20 77	FALSE
False	1	0	0		89	8429	ssi	sans1271	{}	28.7364	language	72.6838		Sansi	('Sochi [soch1238]')'Sansi [sans1271][ssi]-l-'	11086	unknown/safe		Indo-European	#A9A9A9	28.7364 72.6838	FALSE
False	0	0	0		10	20399	kwy	sans1272	{}	-5.33539	language	13.3587		Cimbala-Cizali	'Cimbala-Cizali [sans1272][kwy]-l-'	21519	unknown/safe	Bantoid	Atlantic-Congo	#A9A9A9	-5.33539 13.3587	FALSE
False	6	0	0		143	6201	sat	sant1410	{}	25.0317	language	87.8185		Santali	('Kamari-Santali [kama1353]','Karmali [karm1240]','Lohari-Santali [loha1252]','Mahali {Santali} [maha1292]','Manjhi {Santali} [manj1249]','Paharia [paha1253]')'Santali [sant1410][sat]-l-'	8694	vulnerable		Austroasiatic	#CBCB65	25.0317 87.8185	FALSE
False	0	0	0		414	1826	hvv	sant1422	{}	16.2167	language	-94.8159		Santa María del Mar Huave	'Santa María del Mar Huave [sant1422][hvv]-l-'	3384	severely endangered		Huavean	#FFCB00	16.2167 -94.8159	FALSE
False	0	0	0		380	12430	nhz	sant1423	{}	18.6286	language	-97.7009		Santa María La Alta Nahuatl	'Santa María La Alta Nahuatl [sant1423][nhz]-l-'	15009	unknown/safe		Uto-Aztecan	#A9A9A9	18.6286 -97.7009	FALSE
False	5	0	0		380	7212	cok	sant1424	{}	22.7102	language	-104.7		Santa Teresa Cora	('Dolores Cora [dolo1238]','Nuclear Santa Teresa Cora [nucl1652]','Rosarito Cora [rosa1238]','San Blasito Cora [sanb1240]','San Juan Corapan Cora [sanj1277]')'Santa Teresa Cora [sant1424][cok]-l-'	9649	unknown/safe		Uto-Aztecan	#A9A9A9	22.7102 -104.7	FALSE
False	0	0	0		214	2674	qus	sant1432	{}	-27.821	language	-63.2466		Santiago del Estero Quichua	'Santiago del Estero Quichua [sant1432][qus]-l-'	4442	definitely endangered		Quechuan	#EDED21	-27.821 -63.2466	FALSE
False	0	0	0		214	4453	qxt	sant1433	{}	-10.3302	language	-76.2753		Santa Ana de Tusi Pasco Quechua	'Santa Ana de Tusi Pasco Quechua [sant1433][qxt]-l-'	6655	severely endangered		Quechuan	#FFCB00	-10.3302 -76.2753	FALSE
